Variety Name,Variety Number,Replication,Year,IDC_Score_1,IDC-Score_2,IDC_Score_3,SPAD1,SPAD2
PI438312,244,4,2015,1,1,1,29.2,28
PI438376,245,4,2015,1,1,1,21.1,24
PI438434,246,4,2015,1,1,1,25.5,29
PI438503A,247,4,2015,1,1,1,24.5,25
PI445819,248,4,2015,1,1,1,27.5,27
PI445845,249,4,2015,1,1,1,28.7,26
PI458052,250,4,2015,1,1,1,26.9,28
PI458061A,251,4,2015,1,1,1,26.3,22
PI458110,252,4,2015,3,2,2,13,19
PI458307A,253,4,2015,1,1,1,28.7,27
PI458506,254,4,2015,1,1,1,26.6,25
PI458507,255,4,2015,1,1,1,23,26
PI458517,256,4,2015,1,1,1,27.4,28
PI458519A,257,4,2015,1,1,1,24.6,24
PI458520,258,4,2015,1,1,1,31,28
PI458521,259,4,2015,2,3,2,19,10
PI458522,260,4,2015,1,1,1,24.1,28
PI458825B,261,4,2015,1,1,1,28.1,25
PI461509,262,4,2015,1,1,1,23,26
PI464877,263,4,2015,3,4,4,12,8
PI464878,264,4,2015,3,4,4,11,7
PI464880,265,4,2015,1,1,1,22.8,26
PI464884,266,4,2015,1,1,1,23,24
PI464914B,267,4,2015,1,1,1,26,25
PI464915A,268,4,2015,1,1,1,30.7,23
PI467307,269,4,2015,1,1,1,26.9,28
PI467310,270,4,2015,1,1,1,26.9,26
PI467311A,271,4,2015,1,1,1,25.1,24
PI467312,272,4,2015,1,1,1,29.8,25
PI467324,273,4,2015,1,1,1,29.4,26
PI467327,274,4,2015,1,1,1,27,24
PI467328,275,4,2015,1,1,1,27.1,25
PI467332,276,4,2015,1,1,1,24.4,26
PI467334B,277,4,2015,1,1,1,24.6,23
PI468381,278,4,2015,1,1,1,30.3,24
PI468384,279,4,2015,1,1,1,28.5,25
PI468385,280,4,2015,1,1,1,30.1,26
PI468907,281,4,2015,2,2,2,22,25
PI468914,282,4,2015,3,4,4,12,8
PI468919,283,4,2015,1,2,2,29.8,20
PI470223,284,4,2015,1,1,1,24,25
PI470227B,285,4,2015,1,1,1,22,26
PI471899,286,4,2015,1,1,1,23,24
PI475810,287,4,2015,1,1,1,31.8,29
PI475811B,288,4,2015,1,1,1,27.7,25
PI475818,289,4,2015,1,1,1,27.9,24
PI475820,290,4,2015,1,1,1,26.6,26
PI475822B,291,4,2015,1,1,1,31.4,25
PI476344,292,4,2015,1,1,1,24.5,23
PI476345,293,4,2015,1,1,1,24.1,25
PI476348,294,4,2015,1,1,1,29.4,27
PI476911,295,4,2015,1,1,1,21.2,29
PI479711,296,4,2015,1,1,1,22.4,26
PI479713,297,4,2015,1,1,1,24.5,25
PI479718B,298,4,2015,1,1,1,29.8,22
PI479719,299,4,2015,1,1,1,24.6,23
PI479724A,300,4,2015,1,3,3,32.4,12
PI479729,301,4,2015,1,1,1,31,31
PI479738,302,4,2015,2,2,2,21,20
PI479740,303,4,2015,4,5,5,6.9,7
PI483459,304,4,2015,1,1,1,25.9,26
PI504485,305,4,2015,1,1,1,24.9,24
PI504490,306,4,2015,1,1,1,24,25
PI504497,307,4,2015,1,1,1,25.8,26
PI506527,308,4,2015,1,1,1,21.4,24
PI506528,309,4,2015,1,1,1,24.8,28
PI506529,310,4,2015,1,1,1,24.9,26
PI506634,311,4,2015,2,3,3,18.9,12
PI506678,312,4,2015,1,1,1,24.9,26
PI506800B,313,4,2015,1,1,1,28.1,25
PI506887,314,4,2015,1,1,1,24.6,23
PI507027,315,4,2015,1,1,1,26.2,24
PI507147,316,4,2015,1,1,1,29.2,25
PI507171,317,4,2015,3,4,4,12,6
PI507195,318,4,2015,1,1,1,27.7,25
PI507267,319,4,2015,1,1,1,32.2,26
PI507487,320,4,2015,1,1,1,22,24
PI507491,321,4,2015,1,1,1,29.7,28
PI507717,322,4,2015,1,1,1,32,24
PI512322C,323,4,2015,1,1,1,26.9,29
PI518283,324,4,2015,1,1,1,31.2,29
PI518706A,325,4,2015,1,1,1,30.2,28
PI518757,326,4,2015,1,1,1,21.2,26
PI522188A,327,4,2015,1,1,1,25.6,23
PI524994,328,4,2015,1,1,1,30.3,25
PI532456,329,4,2015,1,1,1,26.6,26.6
PI532462A,330,4,2015,1,1,1,28.6,26
PI532472,331,4,2015,1,1,1,29.4,23
PI538377,332,4,2015,1,1,1,30.7,24
PI538389,333,4,2015,1,1,1,31.6,25
PI538393,334,4,2015,1,1,1,25.4,26
PI538400,335,4,2015,1,1,1,25.8,24
PI538403,336,4,2015,1,1,1,30,28
PI538410B,337,4,2015,1,1,1,25.2,29
PI540739,338,4,2015,1,1,1,28,24
PI547430,339,4,2015,4,4,4,6,8
PI548316,340,4,2015,1,1,1,26.8,26
PI548329,341,4,2015,1,1,1,24,24
PI548336,342,4,2015,1,1,1,25,28
PI548349,343,4,2015,1,1,1,25.6,27
PI548373,344,4,2015,1,1,1,26.3,25
PI548533,345,4,2015,1,1,1,28.9,26
PI549021A,346,4,2015,1,1,1,30.2,24
PI549031,347,4,2015,1,1,1,26.9,29
PI549041A,348,4,2015,1,1,2,27.1,24
PI549056,349,4,2015,1,1,1,25.7,26
